ResponseId,Gender,Age,Current_Pos,Ethnicity,Ethnicity_5_TEXT,Country,Country_2_TEXT,Guilt_Innocent,Guilt_Innocent_DO,Confidence,Qual_Suspect,Qual_Statement,Believable,Detailed,Anxious,Truthful,Remorse,Careful_worded,Memory,Knowledgeable,Rehearsed,Serious,Blame,Qual_thinkstatement,FL_22_DO,Innocent/Spontaneous_DO,Innocent/Coached_DO,Innocent/Rehearsed1_DO,Innocent/Rehearsed2_DO,Guilty/Spontaneous_DO,Guilty/Coached_DO,Guilty/Rehearsed1_DO,Guilty/Rehearsed2_DO
R_23TZzywBSvwsEGy,1,47,5,1,,1,,1,1|2,10,Nothing.,Her confession.,9,9,7,9,7,6,8,9,4,9,10,This subject admitted to the crime.  She seemed at least a little remorseful and apologized. ,Innocent/Coached,,Inno_Coach_11,,,,,,
R_6FK4GsKdjyjMnhD,1,22,3,1,,1,,1,2|1,7,Nothing.,They said that they took the money.,7,7,4,7,7,7,7,7,4,7,7,The statement is probably correct.,Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_8
R_3rxT9EjqLqQPCU1,2,39,3,1,,1,,1,2|1,7,She doesn't seem nervous or stressed out about having to lie.,Just the way she confirms that she took the money.,8,7,2,7,2,6,7,7,3,5,8,The suspect seems very sure of herself and doesn't seem to have any remorse of having stolen the money or being made to lie about it.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_13,
R_3qfHdUTCsZj7ztr,2,55,3,1,,1,,1,1|2,10,She said it was just dollar bills and she described using a gold key,What she said,10,8,4,7,10,9,7,7,5,8,10,She sounded embrarrased,Guilty/Spontaneous,,,,,Guilty_Spon_9,,,
R_A0rVu2Q3VOgzfQl,1,36,4,1,,1,,1,2|1,10,She said that she took it,She admitted to taking the money to pay a cell phone bill and this statement was given under her own volition without being under any duress ,10,7,1,9,8,7,8,9,5,9,10,"I think this was a pretty straightforward scenario. The officer asked her what happened, she said she took the money to pay a cell phone bill. There is no reason not to believe her or her statement.",Guilty/Rehearsed2,,,,,,,,Guilty_Reh2_13
R_2QsaRTDWEmhQwx0,1,20,2,1,,1,,1,1|2,4,she had guilty facial ticks,her pauses,7,7,5,8,5,5,7,4,4,7,6,They seem like they regret what they've done,Innocent/Spontaneous,Inno_Spon_5,,,,,,,
R_AtHqSJZxaXoxKTL,2,67,1,1,,1,,1,2|1,7,SHE TOOK THIS SITUATION VERY LIGHTLY LIKE SHE DIDN'T REALLY CARE.  IT SEEMED TO JUST BOUNCE OFF HER PSYCHE.  ,SHE DIDN'T STUMBLE OVER HER PHRASES...SHE KNEW WHAT SHE WOULD SAY...SHE ADMITTED IT AND PROBABLY THINKS THERE WON'T BE ANY REPERCUSSIONS.,6,6,1,6,1,4,7,7,6,1,7,"I THINK SHE JUST FESSED UP AND ADMITTED IT AND THOUGHT THAT IF SHE ADOPTED A ""CUTE"" ATTITUDE ABOUT IT THAT SHE WOULD GET A SLAP ON THE WRIST AND JUST BE SET FREE WITHOUT REPERCUSSIONS.",Guilty/Spontaneous,,,,,Guilty_Spon_5,,,
R_2VdX3BRvxsJfbfj,1,49,1,1,,1,,1,2|1,9,She was very believable in her statement.,The statement said she took it and I have no reason to believe otherwise.,10,8,7,9,9,7,9,9,4,8,9,I think she took the money and felt bad about it. Her statement said she took it and I didn't see anything that would make me believe otherwise.,Innocent/Coached,,Inno_Coach_2,,,,,,
R_4IRDhfdAhKVbgCB,1,29,1,1,,1,,1,1|2,7,because she was crying,because she was crying,6,6,7,8,7,7,5,6,6,7,7,i think shes horrible,Innocent/Rehearsed2,,,,Inno_Reh2_16,,,,
R_3qWgqau7CUFWw1s,2,53,2,4,,1,,2,1|2,2,She kept looking to the left throughout the conversation making me not believe her story. She definitely​ seemed to be making up the story.,it was her body language,8,10,9,5,2,8,9,9,10,1,8,she was covering up for someone and did not believe she would get in much trouble.,Guilty/Rehearsed1,,,,,,,Guilty_Reh1_2,
